day,date,type,deaths
1,Up to 01-Mar-20,New,0
2,01/03/2020,New,0
3,02/03/2020,New,0
4,03/03/2020,New,0
5,04/03/2020,New,0
6,05/03/2020,New,0
7,06/03/2020,New,0
8,07/03/2020,New,0
9,08/03/2020,New,0
10,09/03/2020,New,0
11,10/03/2020,New,0
12,11/03/2020,New,1
13,12/03/2020,New,1
14,13/03/2020,New,0
15,14/03/2020,New,1
16,15/03/2020,New,1
17,16/03/2020,New,0
18,17/03/2020,New,3
19,18/03/2020,New,3
20,19/03/2020,New,0
21,20/03/2020,New,6
22,21/03/2020,New,1
23,22/03/2020,New,3
24,23/03/2020,New,4
25,24/03/2020,New,3
26,25/03/2020,New,5
27,26/03/2020,New,6
28,27/03/2020,New,4
29,28/03/2020,New,2
30,29/03/2020,New,6
31,30/03/2020,New,8
32,31/03/2020,New,11
33,01/04/2020,New,6
34,02/04/2020,New,12
35,03/04/2020,New,13
36,04/04/2020,New,19
37,05/04/2020,New,12
38,06/04/2020,New,22
39,07/04/2020,New,14
40,08/04/2020,New,14
41,09/04/2020,New,9
42,10/04/2020,New,5
43,11/04/2020,New,2
44,12/04/2020,New,3
45,13/04/2020,New,5
46,14/04/2020,New,4
47,15/04/2020,New,6
48,16/04/2020,New,3
49,17/04/2020,New,7
50,18/04/2020,New,11
51,19/04/2020,New,8
52,20/04/2020,New,23
53,21/04/2020,New,37
54,22/04/2020,New,66
55,23/04/2020,New,236
56,24/04/2020,New,105
1,Up to 01-Mar-20,Existing,0
2,01/03/2020,Existing,0
3,02/03/2020,Existing,0
4,03/03/2020,Existing,5
5,04/03/2020,Existing,1
6,05/03/2020,Existing,4
7,06/03/2020,Existing,3
8,07/03/2020,Existing,1
9,08/03/2020,Existing,5
10,09/03/2020,Existing,3
11,10/03/2020,Existing,1
12,11/03/2020,Existing,8
13,12/03/2020,Existing,9
14,13/03/2020,Existing,15
15,14/03/2020,Existing,23
16,15/03/2020,Existing,28
17,16/03/2020,Existing,46
18,17/03/2020,Existing,39
19,18/03/2020,Existing,60
20,19/03/2020,Existing,58
21,20/03/2020,Existing,96
22,21/03/2020,Existing,98
23,22/03/2020,Existing,140
24,23/03/2020,Existing,130
25,24/03/2020,Existing,167
26,25/03/2020,Existing,228
27,26/03/2020,Existing,307
28,27/03/2020,Existing,343
29,28/03/2020,Existing,347
30,29/03/2020,Existing,593
31,30/03/2020,Existing,577
32,31/03/2020,Existing,337
33,01/04/2020,Existing,581
34,02/04/2020,Existing,587
35,03/04/2020,Existing,636
36,04/04/2020,Existing,734
37,05/04/2020,Existing,699
38,06/04/2020,Existing,681
39,07/04/2020,Existing,756
40,08/04/2020,Existing,841
41,09/04/2020,Existing,726
42,10/04/2020,Existing,689
43,11/04/2020,Existing,722
44,12/04/2020,Existing,672
45,13/04/2020,Existing,638
46,14/04/2020,Existing,604
47,15/04/2020,Existing,640
48,16/04/2020,Existing,600
49,17/04/2020,Existing,557
50,18/04/2020,Existing,517
51,19/04/2020,Existing,476
52,20/04/2020,Existing,494
53,21/04/2020,Existing,390
54,22/04/2020,Existing,353
55,23/04/2020,Existing,107
56,24/04/2020,Existing,
